100nF_MF;1;"C11";CAP_FILM_12.6X4.5_L10
100nF_X7R;7;"C1 C3 C5 C8 C9 C10 C13";SM0603
100uF;5;"C2 C4 C6 C7 C12";CAP_RAD_5MM
CONN_PANNEL_2X2;2;"CN1 CN2";CONN_PANNEL
PRTR5V0U2X;2;"D1 D4";
MMSZ5242B;2;"D2 D3";SOD123_
1N4148;1;"D5";SOD323
FB_150OHM800mA;4;"FB1 FB2 FB3 FB4";SM0805
CONN_1;1;"GND1";
USB_B;1;"J3";
MIDI_CONN;2;"J4 J5";CON_MIDI_SDS-50J
JACK_3P_2.5MM;1;"J6";PJ-002B
RJ45_CHAIN;1;"J2";RJ45_TFN2_88_1
USB_A;1;"J1";USB_A_73725
CM_NOISE_FILTER;2;"L1 L2";
KK3.96_2PIN;1;"P2";KK3.96_2PIN
HEADER_8X2;1;"P1";pin_array_8x2
BS870;2;"Q1 Q2";SOT23
120R;1;"R1";SM0805
220R;3;"R6 R7 R8";SM0805
1k;4;"R3 R4 R9 R10";SM0603
10k;1;"R5";SM0603
226k_1%;1;"R2";SM0603
RT9728BH;1;"U1";
6N137;1;"U2";SMD_8
